LAT,LON,SIV,REMOTE,FAILSAFE,L_PWM,R_PWM,GPS_HEADING,GPS_SPEED,Setpoint_Speed,Setpoint_Yaw,L_setpoint,R_setpoint
39.9401311,32.8229904,11,0,0,800,800,282.3,0.31,0.3510268500386753,282.24882619000005,798.6813856201693,799.1169386265666
39.9401303,32.8229888,10,0,0,800,800,282.3,0.2,0.0895883180866915,282.1859008649396,802.2558550872592,802.1589291114716
39.9401286,32.8229859,11,0,0,800,800,282.3,0.23,0.2718414637648177,282.43560624965346,802.7914318611009,795.3866996883748
39.9401256,32.8229838,11,0,0,800,800,282.3,0.23,0.1751495096729138,282.3372486933475,797.8929571814996,797.3689570277861
39.9401211,32.8229802,13,0,0,800,800,282.3,0.35,0.2713799534292166,282.49540409625143,803.1897760189447,795.6002344598126
39.9401189,32.8229747,12,0,0,800,800,282.3,0.38,0.4007215174483662,282.35841039807525,802.2758480571747,797.0397495969029
39.9401229,32.8229696,13,0,0,800,800,282.3,0.25,0.2387354508278427,282.3340143444222,795.7257155939438,800.2549537738026
39.9401203,32.8229685,13,0,0,800,800,282.3,0.26,0.2147225538943913,282.3477865924621,795.1507252171313,800.6716563827656
39.9401151,32.8229668,13,0,0,800,800,282.3,0.28,0.3157570213342839,282.3079824020975,799.1165845781875,798.1997703066081
39.9401134,32.8229683,11,0,0,800,800,282.3,0.18,0.1805544471771282,282.1895323496037,801.3756427521066,796.006445880193
39.9401105,32.8229716,11,0,0,800,800,282.3,0.15,0.1321562568476744,282.49661140735697,799.3808029490459,803.307981438418
39.9401069,32.8229727,12,0,0,800,800,282.3,0.17,0.1166406354405479,282.38173433772147,804.7727885557897,798.8236442261945
39.9401117,32.8229698,13,0,0,800,800,282.3,0.12,0.1401003101009942,282.2659104555099,804.3442708921049,796.6521313083373
39.9401145,32.8229682,13,0,0,800,800,282.3,0.18,0.2069034648263174,282.15208292045776,796.2183865470589,802.9922553360748
39.9401112,32.8229698,12,0,0,800,800,282.3,0.08,0.1234670981384415,282.30276514338584,801.3965888829283,803.9182722299056
39.9401096,32.8229685,11,0,0,800,800,282.3,0.09,0.0892515049935981,282.41851357116457,801.8555100125856,801.9829536288737
39.9401104,32.8229685,10,0,0,800,800,-1.0,0.03,0.0478269511994685,359.15262831095697,798.9218087886333,801.6703776858676
39.940105,32.8229707,10,0,0,800,800,282.3,0.15,0.0985090686038214,282.44965325316565,801.8927896829007,802.0974017041551
39.9401091,32.8229675,12,0,0,800,800,282.3,0.06,0.018935174080735,282.52547632030945,800.9304831201295,804.1546978543682
39.9401097,32.822968,12,0,0,800,800,-1.0,0.03,0.072893551265479,359.0592563301503,805.6289477944678,798.5926080997873
39.9401106,32.8229683,12,0,0,800,800,282.3,0.07,0.1124568720779037,282.159189999376,802.3511104719413,800.6348203035749
39.9401111,32.8229686,13,0,0,800,800,282.3,0.1,0.1248730629765061,282.2259316578028,794.8225717220591,803.7003172040061
39.9401144,32.8229677,13,0,0,800,800,282.3,0.08,0.1162272225689528,282.44740543965105,801.5454880558058,800.4857686209253
39.9401194,32.8229655,12,0,0,800,800,282.3,0.05,0.0421433266436604,282.42465523997083,803.0735518370316,799.4400656271129
39.9401211,32.8229654,15,0,0,800,800,282.3,0.09,0.117326889032782,282.36687168589714,805.4213456472768,798.2844639936811
39.9401227,32.8229657,15,0,0,800,800,282.3,0.1,0.0918046971032214,282.3320816933409,800.8661542885078,806.5953351086281
39.9401218,32.8229676,14,1,0,1003,999,282.3,0.06,0.0150934162220736,282.4195625416105,1000.842753881524,1000.5737983797936
39.9401155,32.8229654,15,1,0,1200,800,282.3,0.73,0.6717409035583929,282.23426482407785,1202.3227714508455,801.4282919317785
39.9401109,32.8229599,15,1,0,800,999,282.3,0.78,0.781784275022292,282.15463552854635,801.1491239832137,1000.0323110053392
39.9401055,32.8229582,15,1,0,800,800,282.3,0.64,0.7079777284578066,282.1611135474216,796.6521898473874,800.5394905713713
39.9401007,32.8229549,15,1,0,800,800,282.3,0.63,0.6193807866643879,282.12525888092347,798.9069635314673,799.1831079505371
39.9400979,32.8229534,16,1,0,1002,800,282.3,0.59,0.5531310160706667,282.2517635665835,1006.256595775837,800.7105352276591
39.9400958,32.8229583,17,1,0,800,999,282.3,0.5,0.504864869673563,282.3030861852088,806.1977563229282,997.9532736930164
39.9400963,32.8229629,17,1,0,800,800,282.3,0.52,0.5637572655767785,282.5728131874221,797.3985335904937,797.2817197073682
39.9400947,32.8229649,18,1,0,800,800,282.3,0.45,0.4247511762994637,282.20403230874086,799.7523628450633,799.8910933607069
39.9400941,32.8229633,17,1,0,800,800,282.3,0.48,0.3945516986284059,282.2792580980016,801.3973754961329,795.2347053927975
39.9400963,32.8229594,17,1,0,800,800,282.3,0.49,0.494713530510457,282.3753890035722,799.4897765131718,798.4751429784545
39.9400971,32.8229553,18,1,0,800,800,282.3,0.41,0.4142459222802669,282.43866825324653,801.7399463262504,798.777917603668
39.9400981,32.822955,19,1,0,800,800,282.3,0.25,0.1880497751598873,282.2350793951267,796.7907971256047,804.3028340585273
39.9401004,32.8229552,19,1,0,800,800,282.3,0.19,0.1661162880110355,282.29127189718344,797.0142618179077,797.1032815428949
39.9401017,32.8229556,19,1,0,800,800,282.3,0.2,0.2573524329999531,282.4043508496739,793.5858209600468,802.719895747591
39.9401023,32.8229559,19,0,0,800,800,282.3,0.17,0.1640909310820947,282.2936371543609,802.4266507635214,795.3251484133921
39.9401019,32.8229555,19,0,0,800,800,282.3,0.16,0.0716641192580518,282.35048366781973,798.3716113867532,806.1041306534756
39.9401026,32.8229554,19,0,0,800,800,282.3,0.12,0.0270962200600475,282.3326254979229,798.5018370589278,797.0787836213544
39.9401028,32.8229571,20,0,0,800,800,282.3,0.1,0.0747126647219392,282.35302407123754,800.3136296494635,800.5022713603313
